1009,64130,175
1315,11593,61
1315,54634,0
1319,1451,16212
1319,573041,779
1438,11593,60
1438,118032,60
1451,212948,57
1505,552011,1737
1505,571959,134
1508,18260,4166
1508,574838,25104
1508,574840,19
1554,1706,19
1554,120912,0
1706,2439,1
1706,44478,20
1706,53983,2
1993,25989,1
1993,26404,97
1993,30791,2433
1993,138873,3055
1993,354451,4198
1993,356378,1
1993,550675,0
1997,32046,0
1997,571497,0
2062,81412,0
2062,460417,3
2097,83915,182
2097,128153,1
2149,16518,0
2149,25252,160
2149,28609,0
2149,36473,0
2149,42737,0
2149,42797,2
2149,43345,492
2149,51326,12
2149,173924,10824
2149,335266,94
2149,335757,6560
2149,552358,3
2150,35604,0
2150,42795,211
2150,78455,8
2150,158096,485
2150,173924,0
2150,348418,204
2150,361118,790
2150,387406,1694
2150,412645,0
2150,553669,410
2150,563733,4977
2151,42737,0
2151,335277,1039
2383,83460,8
2383,581474,104
2439,53983,46
2469,364459,180
2469,576415,623
3098,227004,0
3098,436162,11
3125,36679,0
3125,223978,0
3125,236848,0
3125,590622,302
3146,197611,11
3146,223978,13
3843,4928,0
3843,575573,151
3844,4926,451
3844,16294,1590
3844,26804,204
3844,408986,1645
3844,552025,0
3844,552805,435
3844,571574,9
3844,575574,1455
3846,4926,1250
3846,14868,0
3846,32085,483
3846,550819,1
4028,4031,44
4028,563733,0
4028,564451,0
4028,564453,1
4028,571521,1
4030,550922,0
4030,552358,0
4031,563733,0
4054,336755,13807
4054,571823,2
4094,26719,0
4094,140922,101
4118,553669,174
4118,562943,1
4433,4440,8
4433,116898,5
4433,118014,5
4433,118597,7
4438,239444,4
4438,519809,0
4440,46778,662
4442,46778,46
4442,118014,5
4450,4452,1
4450,25037,1
4450,147486,10813
4450,158211,0
4452,551950,0
4468,485985,577
4468,562942,106
4472,4475,0
4472,550674,4423
4472,551690,8223
4472,552566,0
4472,571821,0
4472,571854,0
4472,579031,0
4475,25987,38
4475,29531,163
4475,551098,6180
4475,551690,0
4475,572919,71
4475,573471,190
4477,26873,0
4477,552625,0
4477,571573,92
4782,4788,4496
4782,23452,0
4782,24670,497
4782,29609,601
4782,29611,0
4782,38642,587
4782,140991,1214
4782,195679,402
4782,337862,1
4782,338100,28
4782,550733,51
4782,552062,99
4782,552805,199
4782,552806,60
4782,569463,0
4782,571081,0
4782,571854,4170
4782,576620,66
4782,577675,56
4785,14868,164
4785,23497,0
4785,26805,0
4785,26806,0
4785,549467,0
4788,37127,187
4788,38648,15
4788,419605,574
4788,550925,3390
4788,551806,4492
4788,552806,496
4788,569463,32
4826,4828,0
4826,25406,26
4826,32188,379
4826,133464,5
4826,551050,0
4826,553587,101
4826,579239,74
4828,4832,0
4828,25989,1912
4828,26351,0
4828,32189,0
4828,70717,435
4828,86657,10476
4828,88416,0
4828,124318,0
4828,125250,0
4828,550764,505
4828,552590,598
4828,552591,1
4828,552606,1813
4828,564474,2
4828,571856,301
4828,574865,1
4832,32189,1
4832,86657,371
4832,552265,3
4884,27260,6376
4884,27262,0
4926,4929,0
4926,25047,0
4926,337323,2206
4926,552625,26
4926,552805,12
4926,563733,12
4926,574515,2154
4928,27320,222
4928,336753,0
4928,386842,0
4928,386843,0
4928,571521,0
4929,16294,3107
4929,27320,122
4929,88687,1995
4943,4945,6
4943,26719,57
4943,552011,190
4943,552014,9
4943,552608,232
4943,571858,398
4945,4947,0
4945,5462,46
4945,14867,58
4945,550731,1970
4945,551638,1053
4945,552741,0
4945,552823,0
4945,552839,109
4945,552840,304
4945,564530,5
4945,565892,0
4945,569808,0
4947,552014,380
4954,69761,6
4954,74793,4161
5459,5464,6
5462,5464,0
5462,569862,0
5462,569988,142
5464,26718,376
5464,549135,0
5464,552011,0
5464,569988,0
5464,571958,46463
5496,38648,4
5496,38649,4300
5496,338100,0
5496,550819,0
5523,158226,266
5523,216331,8165
5525,158230,0
5525,564195,0
5917,353125,7
5917,354427,528
6200,557182,5
6201,165911,0
6201,557182,5
6201,588622,535
6250,565528,6
6250,589473,131
6276,171227,2
6276,562545,8
6292,6293,620
6292,45606,2682
6292,65263,10200
6293,51292,3869
6348,550893,19846
6348,563778,2108
6348,564453,0
6348,574358,0
6449,70006,37261
6449,551638,0
6771,327785,384
6771,417604,292
7174,12434,10
7174,19465,11
7247,47687,229
7247,411627,96
7285,426720,0
7285,437860,4
7333,37335,127
7333,93051,0
7485,16633,9
7485,343095,46
8581,162200,1
8581,164016,10
8581,275759,132
8601,282578,621
8601,301048,4651
8861,572124,0
8861,576741,10
9148,392945,10220
9148,555857,0
9264,9267,200
9264,18172,231
9267,224719,318
9637,9693,73
9637,10141,8
9693,465866,10
9694,521125,45
